name	titles	function	steno_name	sex	party	birthdate	web_page
Miloslav Kučera Ml.	Ing.	poslanec	poslanec miloslav kučera ml.	Man	ODS	19560101	/sqw/p.sqw?p=509
Miloslav Kučera st.	Mgr.	poslanec	poslanec miloslav kučera st.	Man	ČSSD	19420101	/sqw/detail.sqw?id=388
Miloslav Ransdorf	CSc. PhDr.	poslanec	poslanec miloslav ransdorf	Man	KSČM	19530215	/sqw/p.sqw?p=559
Miloslav Ransdorf	CSc. PhDr.	poslanec	poslanec psp miloslav ransdorf	Man	KSČM	19530215	/sqw/p.sqw?p=559
Miloslav Vlček	Ing.	poslanec	poslanec miloslav vlček	Man	ČSSD	19610201	/sqw/p.sqw?p=603
Miloslav Výborný	JUDr.	poslanec	poslanec miloslav výborný	Man	KDU-ČSL	19520101	/sqw/p.sqw?p=609
Miloš Kužvart 		ministr životního prostředí čr	ministr životního prostředí čr miloš kužvart	Man	ČSSD	19601120	/sqw/p.sqw?p=5921
Miloš Titz	CSc. Doc. Ing.	poslanec	poslanec miloš titz	Man	ČSSD	19390601	/sqw/p.sqw?p=592
Miloš Zeman		předseda psp	předseda psp miloš zeman	Man	ČSSD	19440101	/sqw/p.sqw?p=617
Miloš Zeman		předseda vlády	předseda vlády miloš zeman	Man	ČSSD	19440101	/sqw/p.sqw?p=617
Miloš Zeman		předseda vlády čr	předseda vlády čr miloš zeman	Man	ČSSD	19440101	/sqw/p.sqw?p=617
Miloš Zeman		předsedající	předsedající miloš zeman	Man	ČSSD	19440101	/sqw/p.sqw?p=617
Miloš Zeman		předsedající psp	předsedající psp miloš zeman	Man	ČSSD	19440101	/sqw/p.sqw?p=617
Mirek Topolánek		Senátor	Senátor Mirek Topolánek	Man	ODS	19560515	Senátor_Mirek_Topolánek
Miroslav Beneš	Ing.	poslanec	poslanec miroslav beneš	Man	ODS	19560101	/sqw/p.sqw?p=427
Miroslav Grebeníček	CSc. PhDr. doc.	poslanec	poslanec miroslav grebeníček	Man	KSČM	19470321	/sqw/p.sqw?p=457
Miroslav Grégr		ministr průmyslu a obchodu	ministr průmyslu a obchodu miroslav grégr	Man	ČSSD	19290101	/sqw/p.sqw?p=459
